SUM of Fluency,WorkerId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,,A11GWWAXRJQ6Y2,A14W0AXTJ3R19V,A15A09BRS1Q8W0,A1CSDIX05PK9V,A1DVKS3R9SLQ1H,A1F1BIPJR11LSR,A1FGKIKJYSL1MI,A1GKEEI844CEKI,A1IZ4NX41GKU4X,A1MIR0TP081SKT,A1NGXQMOBCXDC3,A1NOINYD1FZ55T,A1UH396UOK0X9Z,A1V2H0UF94ATWY,A21AVVEQUEX7DA,A28A3HF3LSEIDT,A2QD7QFGCUNF5N,A2RR3R75ECQSKE,A2SBISQJE2ZPJQ,A2V3P1XE33NYC3,A2VE5IV9OD2SK1,A2WTDVHVVORNDU,A2YYQJ3JWA2KGD,A3862RIFFUV141,A3C3RLZKKHH1FC,A3DZ46U9XRLVBI,A3N7R7P9HP2YB6,A3NHMKVK98NY7I,A3SKEW89V5S0DI,A3U21PUMQ6NGT2,A4W9APAHFWVLO,A5LYLHG880ABE,AE03LUY7RH400,AHV4U78TUUDKI,AOUMYCLO4I993,AQD91RFHV1WNE,AUOYNTK0GOFOM,AW0K78T4I2T72,Grand Total
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,4,,,5,17
2,,,5,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,16
3,,,,,,,,,4,,,,,,,4,4,,,,,,,,,,,,3,,,,,,,,,,,15
4,,,,,,,1,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,12
5,,3,,,4,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,15
6,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,20
7,,,,,,,3,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,14
8,,,,4,,,,,,5,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,16
9,,,,2,,,,,,2,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,14
10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,2,,,3,12
11,,3,,,,,2,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,12
12,,,,,,,,4,,,,5,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,12
13,,,,5,,,,,,,,5,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,17
14,,,,5,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,20
15,,2,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,12
16,,,,4,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,19
17,,,,2,,,,,,1,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,10
18,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,2,,,2,13
19,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,4,,,5,17
20,,,,,,,5,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,1,,,14
21,,,,3,,,,,,5,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,16
22,,,,,,,5,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,3,,,15
23,,,,,,,,4,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,19
24,,2,,,4,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,13
25,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,3,,,,,2,,11
26,,,,3,,,,,,4,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,16
27,,3,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,12
28,,,,5,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20
29,,,,5,,,,,,2,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,15
30,,2,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,12
31,,3,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,15
32,,,,,,,2,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,3,,,12
33,,,,4,,,,,,5,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,18
34,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
35,,,,3,,,,,,,5,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,18
36,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
37,,,,,,,2,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,13
38,,,,,,,1,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,2,,,11
39,,,,,,,,,4,,,,,,,4,4,,,,,,,,,3,,,,,,,,,,,,,,15
40,,3,,,2,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,12
41,,,,,,,,,3,,,,,,,4,4,,,,,,,,,,,,3,,,,,,,,,,,14
42,,,,3,,,,,,5,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,15
43,,,,,,,2,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,3,,,13
44,,,,5,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20
45,,3,,,,,3,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,12
46,,,,2,,,,,,,,5,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,13
47,,,,5,,,,,,4,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,18
48,,,,4,,,,,,4,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,17
49,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,2,,,5,14
50,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,3,,,5,18
51,,,,,,,3,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,14
52,,3,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,14
53,,,,,,,5,,,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,4,,,18
54,,,,,,1,,,,5,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,12
55,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,16
56,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,3,,,5,16
57,,3,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,12
58,,,,2,,,,,,,,3,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,10
59,,,,5,,,,,,,4,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,19
60,,,,5,,,,,,,,5,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,18
61,,,,3,,,,,,,2,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,13
62,,,,,,,,,2,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,13
63,,4,,,,,4,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,16
64,,3,,,,,3,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,12
65,,3,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,15
66,,,,2,,,,,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,9
67,,4,,,,,2,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,12
68,,,,2,,,,,,,1,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11
69,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,3,,,,,1,,12
70,,,,5,,,,,,,,5,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,17
71,,,,4,,,,,,1,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,14
72,,,,,,5,,,,1,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,10
73,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,19
74,,4,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,11
75,,,,,,,,,4,,,,,,,4,4,,,,,,,,,5,,,,,,,,,,,,,,17
76,,,,4,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,19
77,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,3,,,,,3,,12
78,,,,2,,,,,,1,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,9
79,,,,,,,,,3,,,,,,,5,4,,,,,,,,,,,,2,,,,,,,,,,,14
80,,,,,,1,,,,2,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,8
81,,,,,,4,,,,3,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,10
82,,3,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,12
83,,3,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,,,,,16
84,,,,2,,,,,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,17
85,,,1,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,11
86,,,4,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,18
87,,,,,,,,2,,,,5,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,11
88,,,,,,1,,,,5,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,16
89,,,,5,,,,,,5,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,19
90,,3,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,11
91,,,,,,,,,4,,,,,,,3,4,,,,,,,,,,,,3,,,,,,,,,,,14
92,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,19
93,,,,2,,,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
94,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,3,,,,,5,,13
95,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,8
96,,,,,,,,,4,,,,,,,5,4,,,,,,,,,,,,3,,,,,,,,,,,16
97,,,,,,,,,4,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,15
98,,,5,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18
99,,3,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,11
100,,,,,,,5,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,3,,,15
101,,2,,,3,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,13
102,,,,,,,,,4,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,15
103,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,18
104,,3,,,5,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,17
105,,3,,,,,2,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,11
106,,,,5,,,,,,,5,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,20
107,,,,4,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,19
108,,,5,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18
109,,,,,,,,,5,,,,,,,3,4,,,,,,,,,,,,3,,,,,,,,,,,15
110,,,5,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,19
111,,3,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,16
112,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,4,,,5,17
113,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
114,,,,,,,,,4,,,,,,,5,4,,,,,,,,,4,,,,,,,,,,,,,,17
115,,,,,,,4,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,2,,,13
116,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,18
117,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,20
118,,,4,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,17
119,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,2,,,,,5,,16
120,,,,5,,,,,,,,5,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,16
121,,,,,,,,,3,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,14
122,,3,,,4,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,14
123,,,,5,,,,,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,20
124,,,,,,,4,,,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,3,,,16
125,,,,,,1,,,,5,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,16
126,,3,,,,,5,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,17
127,,,,5,,,,,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,20
128,,2,,,4,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,13
129,,3,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,14
130,,4,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,18
131,,3,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,14
132,,,,5,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,20
133,,,,5,,,,,,,,5,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,15
134,,,,,,,,,3,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,14
135,,,,,,,,3,,,,5,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,13
136,,,,,,,2,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,3,,,12
137,,,,5,,,,,,,,5,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,18
138,,,,4,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,19
139,,,,,,,,5,,,,5,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,14
140,,,,,,,,,3,,,,,,,5,4,,,,,,,,,,,,4,,,,,,,,,,,16
141,,,,,,,,,5,,,,,,,5,4,,,,,,,,,,,,3,,,,,,,,,,,17
142,,3,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,14
143,,,,,,,,5,,,,5,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,16
144,,,,5,,,,,,5,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,18
145,,,,,,,,5,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,20
146,,3,,,,,3,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,15
147,,,,,,1,,,,5,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,15
148,,,,,,,,,4,,,,,,,5,4,,,,,,,,,,,,3,,,,,,,,,,,16
149,,3,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,12
150,,3,,,5,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,15
151,,,4,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,18
152,,,,5,,,,,,,,5,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,16
153,,,,5,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,20
154,,,,,,,,,5,,,,,,,4,4,,,,,,,,,,,,4,,,,,,,,,,,17
155,,,,4,,,,,,,3,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,16
156,,,,5,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20
157,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
158,,3,,,,,5,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,17
159,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,2,,,,,3,,14
160,,,5,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,20
161,,,,,,3,,,,5,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,17
162,,,,5,,,,,,,5,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,18
163,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,3,,,,,4,,15
164,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,18
165,,,,5,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,20
166,,,,5,,,,,,,,5,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,16
167,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,3,,,,,5,,14
168,,,,5,,,,,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,20
169,,,,,,,3,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,2,,,15
170,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,14
171,,,,,,2,,,,5,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,17
172,,,,,,,3,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,3,,,13
173,,,,,,,5,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,3,,,16
174,,,,3,,,,,,5,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,16
175,,4,,,,,4,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,17
176,,3,,,3,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,13
177,,,,2,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,17
178,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,3,,,,,3,,14
179,,,,,,,,,4,,,,,,,5,4,,,,,,,,,4,,,,,,,,,,,,,,17
180,,,,5,,,,,,,2,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,17
181,,,,5,,,,,,5,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,19
182,,,,,,,4,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,3,,,14
183,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
184,,,,4,,,,,,,4,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,17
185,,3,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,17
186,,,,,,,4,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,2,,,14
187,,,,,,,,5,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,20
188,,3,,,3,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,13
189,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,3,,,,,5,,17
190,,3,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,17
191,,,,5,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20
192,,,,,,,,5,,,,4,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,18
193,,,,5,,,,,,,4,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,16
194,,,,,,,,5,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,20
195,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,4,,,5,19
196,,,,,,,,,3,,,,,,,3,4,,,,,,,,,4,,,,,,,,,,,,,,14
197,,,,,,,5,,,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,2,,,16
198,,,,,,5,,,,5,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,19
199,,,4,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,17
200,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,4,,,5,19
Grand Total,0,120,42,290,37,24,180,43,75,258,35,383,49,37,35,155,240,116,27,78,41,38,33,38,82,115,49,40,31,39,40,32,55,36,41,32,54,36,45,3101