context1,number1,question1,context2,number2,question2,context3,number3,question3,context4,number4,question4,context5,number5,question5,context6,number6,question6,context7,number7,question7,context8,number8,question8,context9,number9,question9,context10,number10,question10
"on the evening of the same day, the couple was married by bugenhagen.",137,at what point in the day was the couple married?,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",70,what type of societies tend to be politically and socially unstable?,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",58,how many times has the south florida/miami been hosted?,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",133,what part of france were the normans located?,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temur eventually won the civil war against ragibagh known as the war of the two capitals.",46,what was the name of the war that eventually won the civil war against ragibagh?,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",60,when was charles avison born?,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",152,who approved of this plan?,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",120,what is another name for the west side of fresno?,"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",166,when did abc begin airing dick clark's new year's rockin' eve?,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dusseldorf and duisburg.",13,"along with cologne and duisburg, what other cities are located in switzerland?"
parliamentary time is also set aside for question periods in the debating chamber.,184,what is set aside for question periods in the debating chamber?,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",61,what is the name of the process that changes the name of the lek?,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,162,in what area of the united states did tesla move to?,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,59,in what decade did the european court of justice begin?,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",180,on what date was series two first shown by the cbc?,"the league eventually narrowed the bids to three sites: new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",193,what three stadiums did the nfl decide between for the game?,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",68,when was the game show showdown?,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,155,stable and radioactive isotope studies provide insight into what?,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",106,who developed the first commercial steam powered device?,concepts of this network influenced later arpanet architecture.,35,what type of architecture did the network have?
"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",192,what prompted shen kuo to believe the land was formed by erosion of the mountains?,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",23,who was the leading protestant nobles?,concepts of this network influenced later arpanet architecture.,135,this network influenced  later models of,this early part of luther's career was one of his most creative and productive.,12,what was one of von neumann 's career?,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",187,what website are teachers using to sell their lesson plans?,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",87,what are most students now selling their work for?,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",194,who explained that inertial reference frames equaled reference frames subject to constant acceleration?,"he was supposedly killed with poison by el temur, and tugh temur then remounted the throne.",139,who took the throne after kusala's death?,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,145,how many chloroplasts per cell does algae have?,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",143,in which year were rodin's works given to the v&a?
"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",92,when did shen kua die?,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",6,when was the first commercial steam-powered device invented?,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",103,"in may 2002, where would you go to address the parliament?","they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",117,how many seconds were left in the game when the broncos intercepted the pass that won the game?,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,55,what kind of study provides information into the discoveries of rock units?,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",164,which country's cars became more highly sought after as they were more fuel efficient?,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",95,what type of plants are predation?,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",116,what was the wedding date?,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",170,what do extremely unequal societies tend to be?,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,73,how many seats are there in the parliament?
"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",85,what do the indigenous peoples of the indigenous peoples do?,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",160,what year did charles avison die in newcastle?,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",151,who pays australian pharmacists for doing home medicines reviews?,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,110,what is one reason a patient might choose an internet pharmacy?,they were licensed by st. george's church in 1784.,86,what year did st george 's church begin?,"barred by the government from settling in new france, huguenots led by jesse de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",199,when did huguenots colonize in north america?,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,2,how much did he spend to work at a ditch digger?,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",108,what effect did genghis khan's career have on communication and trade across asia?,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",118,a function problem is an example of what?,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",98,what is the name of the train that serves destinations in somerset
a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,138,what is the source of oxygen production through electrocatalytic means?,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",177,what is one of the reason that underdeveloped nations received aid from the oil income?,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dusseldorf and duisburg.",113,where are a bulk of factories concentrated along the rhine?,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",107,"after the dornbirner ach was diverted, where does the rhine flow now?","however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",34,how many abc-affiliated stations does the network provide?,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",183,what is the nature of the relationship between t-cells and vitamin d?,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",48,how much money does the oxfam report have?,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",26,what is the name of the spiritual school in which the five core of islam and spiritual knowledge takes on a more important dimension?,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",157,who fought in the french and indian war?,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",36,how many names were on the parliamentary website?
this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,29,what does the inner membrane membrane do?,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",47,in what year was the first annelid gene first created?,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",156,when did zhenjin die?,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",28,what type of machines are used to define complexity classes?,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",76,how many tree species does the biodiversity of plant species support?,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north facade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting: humphry davy (chemistry); isaac newton (astronomy); james watt (mechanics); bramante (architecture); michelangelo (sculpture); titian (painting); thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north facade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",144,what art historical style was used in the decoration for the northern part of the museum?,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",191,what was tesla's father's original plans for tesla?,"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",71,how many regular season finals did the taylor seahawks lose during the 2014-15 season?,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north facade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting: humphry davy (chemistry); isaac newton (astronomy); james watt (mechanics); bramante (architecture); michelangelo (sculpture); titian (painting); thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north facade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",44,what was the name of the building that was constructed by james gamble?,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",33,what was the name of the language that the descendants of gaul had?
"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",16,where was richard 's sister?,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",14,when did the ceo of nbc leave the board?,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",153,"along with mills and mines, in what industrial locations did steam drive machines?","his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",165,"what ""war"" was tesla involved in?","each year, enr compiles and reports on data about the size of design and construction companies.",9,what is the name of the two reports that data about data about the size of design and construction companies?,"however, mughal emperors directly patronized the legacies of genghis khan and timur; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",78,who were the names of the names of the mughal?,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",132,what japanese network did abc purchase a stake in in 1951?,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,89,what did philo think parts of the air were converted into?,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 war gott nicht mit uns diese zeit, bwv 14.",181,what did bach base entirely on luther chorales?,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",17,how many seconds did the new england patriots take on new england?
"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",21,when did the silurian (formation begin?,parliamentary time is also set aside for question periods in the debating chamber.,84,what type of time is often used in the debates chamber?,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",127,who did the panthers play in their division championship game?,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",42,what was the name of the first live broadcast pictures of the earth?,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",123,"what ruler, besides john of saxony and philip of hesse, formed the schmalkaldic league?","on an international level, the price increases changed competitive positions in many industries, such as automobiles.",174,"on an international level, which industry's competitive positions is affected? ","the league eventually narrowed the bids to three sites: new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",93,what was the name of miami 's sun life stadium?,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",8,what was the trade between west and asia?,"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",66,what year did abc begin his eve on new year 's eve?,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",168,what game show debuted on abc in 2007 as a replacement for striking programs?
"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",171,who did the broncos play in the last week of the regular season?,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",80,when did cbc begin airing airing?,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",54,"when did jesus 's ""christ"" translate to the saints?","however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",161,where does the nederrijn change it's name?,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",147,who sequenced the first plastome?,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",198,whose trains serve destinations in yorkshire?,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 war gott nicht mit uns diese zeit, bwv 14.",81,what was the name of the second year that included 4 included?,the arrival of satellite television ended the need for abc to hold interests in other countries; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,125,why was abc forced to sell its interests in international networks in the 70s?,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",72,what do students require to teach students in the us?,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",88,who was the leader of sultan muhammad?